state,year,votes_dem_perc_diff,votes_gop_perc_diff,exp_amo_diff,dem_comm_exp_diff,rep_comm_exp_diff,dem_adv_exp_diff,rep_adv_exp_diff,dem_research_exp_diff,rep_research_exp_diff,dem_others_exp_diff,rep_others_exp_diff,dem_logistics_exp_diff,rep_logistic_exp_diff,dem_exp_diff,rep_exp_diff,winner
CO,2016,1.1996994704451556,1.4711615543647947,45884473.79000135,2.5795949499999997,1.2712116699999996,21.388708830000006,17.83288581,2.24713535,0.16670977,0.7315979700000392,-0.10867415000000014,-0.30384955999998486,0.17977406000000004,15.564866349999932,30.420228349999974,DEMOCRATS
CO,2020,34.76678094213777,13.48234155298532,-28632585.990000024,-1.1638132300000006,-1.5720625499999992,-10.917788579999957,-9.476486579999992,-2.35532282,0.38902261,-2.0341231499999974,-0.26731111999999985,-1.00995136,-0.22474921000000003,-33.40266540999996,-44.27401325000001,DEMOCRATS
CT,2016,0.6614525039420237,7.850723314269237,-17560594.580000006,-0.4245480199999999,-0.18468318999999994,-12.96392008,-3.50282397,-0.18779029,0.0,-0.19247427,0.0056393500000000004,-0.0527044,-0.05728971,-2.7429501600000004,-14.817644420000004,DEMOCRATS
CT,2020,20.400368995467772,6.250009283809779,-23523.81999999995,0.020649099999999997,0.057883090000000026,-0.045070409999999894,-0.07381938999999998,0.01395153,0.0,-0.000165,-0.00584328,0.00786461,0.0,0.00919167999999998,-0.80087306,DEMOCRATS
DC,2016,5.901074624630247,-40.493896450119266,1221091.4100000039,0.5690849200000001,-0.024158519999999996,1.0987560899999993,-1.1197991099999998,0.34310605999999993,0.0,0.19226954999999998,0.0029727800000000013,0.13032191999999992,0.00177472,-1.495414639999999,0.0,DEMOCRATS
DC,2020,12.195665240603896,46.081898923209934,2670930977.0300045,3.840061000000005,0.6630961400000001,1737.875108860001,911.58308819,0.8441889099999997,0.0,16.64312133999999,-0.11607758,-0.37307210999999996,-0.00177472,0.00214522,942.1175414300003,DEMOCRATS
DE,2016,-2.877766052171619,11.87002973097097,-886251.8400000003,-0.135,-0.028264619999999997,-0.5698675599999999,-0.24170793,0.0,-4.642e-05,-9.886000000000001e-05,-0.017451159999999993,0.10618470999999999,0.0,-0.14907685999999998,-0.9545064800000004,DEMOCRATS
DE,2020,25.748823232301795,8.359666607247997,2577108.9999999995,0.05088032,0.012405570000000005,1.2804439400000003,1.23683371,0.02,0.0,0.0954689,-0.0014778999999999999,-0.11744553999999999,0.0,2.09467592,-0.017905059999999997,DEMOCRATS
FL,2016,6.305672152903565,10.914970215785141,53122379.65000726,2.148861729999999,-0.2513769900000016,23.004609290000037,26.746267839999966,-0.4440571900000013,0.62634006,-0.37181927000002446,1.3075436699999994,1.6119084600000015,0.3323466200000004,43.95042389000382,10.760200330001126,REPUBLICANS
FL,2020,17.58211754782213,22.755975353224397,27568718.249991983,-0.7408243399999996,-3.8142515999999973,41.14783222999994,-10.935654439999944,3.6718763600000006,-0.68517906,-0.04214291999997505,-1.1281868799999994,0.47263023000000004,-0.38125223000000036,4.590408919996236,-15.52366669000105,REPUBLICANS
GA,2016,5.870696522265137,0.5010852999584353,21785952.760000013,-0.10375314999999999,0.9398882700000001,9.981942730000002,10.519307350000002,0.033415070000000005,-0.0074323499999999765,0.00932049,0.35224266999999987,1e-05,0.061011680000000006,11.395099420000005,10.39085334000001,REPUBLICANS
GA,2020,31.71894227948048,17.84257748776509,497492658.249999,14.41433093999997,12.100276750000056,160.48949403000023,268.39589264000006,16.562606200000015,8.604509160000001,2.4884995200000013,9.663409909999999,3.206901470000013,1.5667376300000009,1.368758530000079,-7.9921450199999935,DEMOCRATS
HI,2016,-12.856471172118354,6.540595516673971,-2839083.5600000024,-0.26076144,-0.03004155,-1.4984664300000006,-1.2632901099999998,-0.00284208,-0.015,0.04114923000000001,0.00115109,0.18901773000000002,0.0,-0.7520505200000001,-2.0870330399999997,DEMOCRATS
HI,2020,37.18334451142976,52.78896675902427,151757.38999999966,-0.08839159000000002,-0.010906170000000001,0.5985970900000006,-0.10128241,0.0,0.0,-0.045968930000000005,-0.00225158,-0.19803902,0.0,-1.86667423,-0.2450632700000001,DEMOCRATS
IA,2016,-20.53081658853508,9.631037876206001,103426921.1800002,3.547487129999997,3.3547732199999993,36.867036990000024,54.99228719000008,0.09213193000000001,0.3804553500000001,0.9352004199999988,0.25362008,0.13806468000000002,2.8438272300000005,24.754970449999483,78.64991377000013,REPUBLICANS
IA,2020,16.12314489443434,12.07129239946416,101845461.4099996,1.0760175300000032,-1.2653976400000229,77.66069981000007,23.013581989999913,3.7889689,-0.43375468000000006,-0.6880789699999987,0.1381736,1.2924923900000005,-2.71412106,-29.36334815999948,-83.98990858000013,REPUBLICANS
ID,2016,-10.819269974199551,-2.8167474834347406,891998.5099999998,0.0,0.03405352000000002,0.46208875000000016,0.35226535000000003,0.0,0.019001,0.000525,0.0033606099999999996,0.0,0.02070428,-0.09001576000000001,0.9545832299999999,REPUBLICANS
ID,2020,51.250757515874895,35.46295730403002,-691494.4599999998,0.0,-0.13109705000000002,-0.5710694700000002,0.05151298999999987,0.0,-0.019001,-0.000525,-0.000610649999999999,0.0,-0.02070428,0.0,-0.75174219,REPUBLICANS
IL,2016,2.3585599262397365,0.511123121986678,-22157824.089999154,-1.3766450700000006,-1.8468583399999998,-10.611281729999991,-7.575338109999969,-0.16354678,-0.05578247000000014,0.11130653000000101,-0.039479140000000024,-0.5203863700000002,-0.08929817999999992,-9.128851110000092,-13.038458550000104,DEMOCRATS
IL,2020,12.333206825962419,14.020218870790744,-4661545.200000763,1.000182410000001,-0.419590620000001,9.784116989999994,-15.349120490000013,0.05450297,-0.27777748,-0.064417260000001,-0.09071923000000001,0.7036683599999999,0.007094719999999999,-12.330250309999903,-11.479113719999903,DEMOCRATS
IN,2016,-10.387921799794777,9.626107763017382,21427659.220000193,0.13081662999999977,0.2442127899999984,12.195264389999997,8.691075040000008,0.006274169999999996,-0.08968858999999998,0.007369759999999892,0.09989493999999977,-0.0222917,0.16473178999999993,-16.39552292000001,13.028949639999965,REPUBLICANS
IN,2020,20.26558232006551,11.08120152624502,19825633.73999975,0.9033800800000005,-1.0984878999999985,14.12011725,4.970316379999964,1.49228423,0.229608,-0.055519579999999895,-0.5873385599999998,0.07042464,-0.21915079999999992,33.932316609999994,-3.471288159999961,REPUBLICANS
KS,2016,-2.9331132873237133,-2.724087392307146,20460991.490000006,0.3681736500000001,0.7510553899999999,10.553520719999996,1.3790703900000008,0.047545000000000004,0.046295,0.005059,0.0345401,0.0,0.05200468,0.08310055,13.154163379999993,REPUBLICANS
KS,2020,30.834299364176065,12.977595235895311,55041563.909999974,0.9262312800000002,1.534939259999998,26.996422220000014,31.477869450000014,-0.0447885,0.5317850000000001,0.13153441999999996,0.35623475000000004,0.37586206,-0.02079847,4.870475230000004,-4.783180839999996,REPUBLICANS
KY,2016,-7.435712498344054,10.64956447355108,21614303.500000082,0.52760064,1.1140673299999997,6.206879180000006,13.098490539999993,0.09167841,-0.10009410999999999,0.3691273700000369,0.12334600999999996,0.07672908000000044,0.10647905,13.541580689998987,8.072722809999107,REPUBLICANS
KY,2020,22.838369478448097,10.280796461427583,2346332.709999867,1.7726165,-1.24224742,6.53789893999963,-6.260369259999983,0.07955918,-0.04064968000000001,-0.10952119000003696,-0.01590294999999997,-0.06061635000000043,-0.06449005,-18.86402812999899,-9.960013079999108,REPUBLICANS
LA,2016,-3.58244113201531,2.2890627305248286,28754636.430000152,0.31761543999999997,0.42574899999999916,13.95944151,13.207602320000001,0.06129147,0.014522489999999999,0.0602702,0.4813672300000078,0.06066,0.16011677000000035,12.40554468,16.343091749999992,REPUBLICANS
LA,2020,9.726284810434862,6.544672749393792,-30258147.97000015,-0.6065273,-1.0469298499999993,-14.60556722,-12.973887160000002,-0.06129147,-0.13952249,-0.06355652,-0.5272580100000078,-0.06066,-0.16694795000000034,-12.68049409,-19.313963609999995,REPUBLICANS
MA,2016,3.846686340948009,-8.198253996839219,-4527634.819999585,-0.8892783400000002,-1.629105779999999,-2.62193864,0.6216375299999983,0.01817536,-0.0425,-0.2587410399999839,0.002898069999999999,0.260448639999998,0.01076938,-3.98124505000016,-0.5463897700001512,DEMOCRATS
MA,2020,19.396891332981824,6.99509484431562,3781341.84,0.4617792399999998,-0.34040659,6.2653518200000065,-2.025516389999999,-0.00917536,0.0,-0.03910002000000001,0.13632378,-0.8585590000000001,0.19064436,-2.896954100000001,-7.138348489999999,DEMOCRATS
MD,2016,0.005006424911970362,-2.953072893568989,7482791.579999993,0.3522924399999998,0.5789454400000001,3.36989564,2.3968940099999996,0.43602443,-0.0265,0.01318389,-0.0001500600000000022,0.3947271599999999,0.0,-1.19471197,-3.3368860999999987,DEMOCRATS
MD,2020,18.302036797764863,3.524818987901426,-10490395.529999992,-0.3711982399999998,-0.6509888500000001,-6.22400157,-3.0850822300000003,-0.43630707,0.29620831000000003,-0.01992777,0.12312674,-0.39476106999999994,0.0,0.10773731,0.94880796,DEMOCRATS
ME,2016,-11.15057547559708,14.936277100247754,7594799.7,0.5106827100000001,0.08323256000000001,5.375391789999997,5.147850859999999,0.0,0.17400492,0.00611466,0.0005998700000000002,2.192e-05,0.004898700000000001,4.87106545,8.18933026,DEMOCRATS
ME,2020,21.356401423102295,7.450178387496455,111882164.14999993,2.5756282199999987,0.6918265800000002,54.6944664899999,47.401349909999986,4.07643934,-0.19900492,0.2696878300000002,0.15139,1.16549878,0.08588879999999999,-2.6113775099999996,0.42007438000000086,DEMOCRATS
MI,2016,-11.531372328059803,7.76676676487385,12240113.96999824,1.6296263199999996,-1.3781569400000009,9.564327480000003,0.5471716600000249,0.7096945700000004,0.016686200000000012,0.4935371600000494,0.23898308,0.3141117099999983,0.10413272999999995,2.8446089799984673,9.39550499000002,REPUBLICANS
MI,2020,23.589201349236326,16.24487890774598,115551565.30000174,2.2205085300000027,2.1542842199999988,56.31254700000004,48.10128312000003,2.7195174600000014,0.29256225,1.2865655699999508,1.752995,0.6779136700000017,-0.031711519999999965,3.810413720001451,-11.187000279999994,DEMOCRATS
MN,2016,-11.541508776218869,0.20647995606809447,37667668.65000007,0.8368104000000003,-0.028093690000000004,20.528214690000006,1.6651549899999998,-0.07018415,0.14083189000000002,-0.03598539000000006,0.06789622,-0.2756928800000002,-0.015385200000000002,0.0,21.04088055000001,DEMOCRATS
MN,2020,25.543387662350955,12.17838000046865,16359151.950000055,0.08875158999999977,0.20632405000000006,5.9170556599999955,5.4016092299999965,0.82774252,-0.14083189000000002,0.14167487999999995,0.21091242,0.014008309999999994,0.01184634,10.968180260000002,-11.841155210000021,DEMOCRATS
MO,2016,-12.479857754070123,7.5599012438952,21276021.11999947,0.031601259999999964,1.6339867600000009,7.842740839999994,12.204404190000002,-0.06074207999999998,-0.004596249999999996,-0.06439311000000283,0.3501294199999999,-0.5882280099999995,-0.06888190000000008,-5.901420640000008,1.0669349399994275,REPUBLICANS
MO,2020,16.987343473990446,7.790789778182778,45102300.64999998,-0.44967033,-1.5638134000000004,21.194165420000004,25.883195490000002,0.57558824,0.037589629999999985,-0.13102683999999842,-0.37245968999999995,-0.047291979999999935,-0.02397588999999995,45.11166689,14.156029400000314,REPUBLICANS
MS,2016,-13.823277064174553,-1.4114747040433573,5150053.21,0.08028358000000002,0.6576274800000002,3.0701663799999963,0.9799085799999996,0.0035,-0.0405,0.04524155,0.27487938,0.00045689,0.07848936999999997,-1.51649461,6.54807118,REPUBLICANS
MS,2020,11.186050778037272,7.998983893571414,227893.10999999754,0.15827064999999996,-0.12077224999999991,-1.5842989899999966,1.646401340000001,0.47612900999999996,0.0,-0.05379155,-0.27500891,0.00861568,-0.027651869999999974,5.9271138200000015,-6.113843970000002,REPUBLICANS
MT,2016,-11.955073102819574,4.222029799050492,-20502911.240000017,-0.8069715399999999,-0.10835528999999997,-9.312909279999996,-10.096752860000004,-0.041800000000000004,0.009,-0.03453705,-0.10299782000000002,-0.008298999999999999,0.0,-10.987315739999994,1.5197848099999998,REPUBLICANS
MT,2020,37.74541525752775,23.048990116029223,166070094.30000013,3.93708652,3.0317128600000007,76.7456521,76.15275296000002,3.927601239999999,0.8174247400000002,0.3294505300000001,0.6196016199999997,0.28453098999999993,0.20694733999999998,24.56743023,17.245637300000013,REPUBLICANS
NC,2016,0.501516945305044,4.062552991880268,114909790.4600004,3.9895976099999997,3.924467959999997,57.31685013999999,43.412772910000015,3.17321605,0.27494478999999994,0.7704762800000141,0.7301452000000043,0.5239075500000041,0.37341197000000026,46.56675973000279,67.92303073000394,REPUBLICANS
NC,2020,22.60870518463301,16.76698561899848,120394448.16000018,0.34488063000000135,0.40756969000000787,60.411590510000124,57.242366029999914,1.3628015300000005,1.5394114699999997,-0.628941510000014,0.7301262799999961,-0.39043225000000414,-0.2049242200000002,-48.972592020002786,-70.63407201000393,REPUBLICANS
ND,2016,-24.97319270841669,15.12000849617672,-17405651.169999987,-0.37806863999999996,-0.16272371,-8.701392710000006,-7.880721159999997,0.0,-0.0265,-0.24156486999999996,-0.014680079999999998,0.0,0.0,-7.602038969999999,-9.803612199999998,REPUBLICANS
ND,2020,22.551675590349625,8.672287978449589,15509279.579999994,0.09332810999999999,0.06421213,6.813665650000002,8.406207010000001,0.0,0.07815299999999999,-0.02,0.0027136800000000004,0.0,0.07100000000000004,9.549553459999997,5.954726119999998,REPUBLICANS
