state,year,exp_amo,dem_comm_exp,rep_comm_exp,dem_adv_exp,rep_adv_exp,dem_research_exp,rep_research_exp,dem_others_exp,rep_others_exp,dem_logistics_exp,rep_logistic_exp,dem_exp,rep_exp,votes_dem_perc,votes_gop_perc,white_pop,black_pop,other_pop
KS,2016,21444284.690000005,0.37099113000000006,0.8115416599999999,10.730397699999996,2.1220580400000006,0.047545000000000004,0.046295,0.005059,0.034664919999999995,0.0,0.05200468,11.15399283,3.0665643,36.052340292957716,56.65453397196731,25.20984,1.79604,2.10256
KS,2020,76485848.59999998,1.2972224100000003,2.346480919999998,37.72681992000001,33.59992749000001,0.0027565,0.57808,0.13659341999999997,0.39089967000000003,0.37586206,0.031206209999999998,10.801834859999985,3.5060166600000007,41.3961663259401,56.17357270887626,25.13846,1.78725,2.20743
KY,2012,11980967.829999993,0.05591803000000001,0.4288163800000002,3.44872581,7.899013479999997,0.0,0.14159379,0.00012041,0.00677993,0.0,0.0,3.50476425,8.476203580000002,37.8013278344458,60.49314159932162,38.88889,3.53253,1.44204
KY,2016,33595271.33000007,0.5835186699999999,1.54288371,9.655604990000006,20.99750401999999,0.09167841,0.04149968000000001,0.36924778000003694,0.13012593999999997,0.07672908000000044,0.10647905,10.776778929998002,22.818492400000014,32.68218833364776,62.51963855190009,39.03401,3.67506,1.67275
KY,2020,35941604.03999994,2.35613517,0.30063629000000003,16.193503929999636,14.737134760000007,0.17123759,0.0008500000000000001,0.25972659,0.11422299,0.016112730000000002,0.04198900000000001,3.552725999999999,1.2185041200000002,36.151514811154044,62.086571869290445,39.09923,3.78479,1.79271
LA,2012,3249855.5500000007,0.28891186,0.6443423500000002,0.93261571,1.16748115,0.0,0.125,0.00328632,0.08138698,0.0,0.006831180000000001,1.22481389,2.0250416600000003,40.57746362330215,57.784575728474245,29.2957,14.91445,1.79957
LA,2016,32004491.980000153,0.6065273,1.0700913499999993,14.89205722,14.375083470000002,0.06129147,0.13952249,0.06355652,0.5627542100000078,0.06066,0.16694795000000034,15.684092509999997,16.31439946999999,38.44956609851397,58.0886846535688,29.55059,15.2463,1.98446
LA,2020,1746344.01,0.0,0.02316150000000001,0.28649,1.401196309999999,0.0,0.0,0.0,0.035496200000000006,0.0,0.0,0.0,0.00403428,39.85145680152621,58.46088241400854,29.18843,15.24733,2.05218
MA,2012,15476234.739999589,1.4749258100000002,2.199689699999999,5.988170440000001,4.805180460000001,0.0,0.0425,0.3047414599999839,0.00800526,0.653021610000002,0.0,8.42085932000031,7.055375420000002,60.65124107928393,37.512670597300875,55.59165,5.35191,5.68649
MA,2016,10948599.920000004,0.5856474700000001,0.57058392,3.366231800000001,5.426817989999999,0.01817536,0.0,0.046000420000000014,0.01090333,0.91347025,0.01076938,4.9295253000000026,6.019074620000002,60.930294345338524,33.31423659092609,55.76223,5.89701,6.57684
MA,2020,14729941.760000004,1.0474267099999999,0.23017733,9.631583620000008,3.4013016,0.009000000000000001,0.0,0.0069004,0.14722711,0.05491125,0.20141374,0.60696958,0.30632775,65.6000630059685,32.141911030505575,55.54165,6.21902,7.16436
MD,2012,4564119.4399999995,0.17999458000000002,0.22369752,2.93253846,1.1522282200000002,0.00028263999999999996,0.0265,0.00674388,0.009578860000000002,3.391e-05,0.0,3.11959347,1.4120046,61.97419077931849,35.89773233894539,35.74008,17.74916,5.38068
MD,2016,12046911.019999992,0.5322870199999998,0.8026429600000001,6.3024341,3.54912223,0.43630707,0.0,0.01992777,0.0094288,0.39476106999999994,0.0,0.0,0.0,60.32574423519277,33.90930472854767,35.65668,18.41676,5.95979
MD,2020,1556515.49,0.16108878000000007,0.15165411,0.07843253,0.46404,0.0,0.29620831000000003,0.0,0.13255554,0.0,0.0,0.07808731,0.97845796,65.36066486007711,32.15029156774875,35.39444,18.78645,6.27591
ME,2012,6172482.720000002,0.02476,0.02541326,1.9863781299999999,0.39968048,0.0,0.025,0.0,0.00325256,0.0,0.0,2.01113813,0.45334630000000004,56.22030456566863,41.03750602005841,12.65573,0.17714,0.44442
ME,2016,13767282.420000002,0.5354427100000001,0.10864582,7.361769919999997,5.547531339999999,0.0,0.19900492,0.00611466,0.00385243,2.192e-05,0.004898700000000001,7.90334921,5.863933209999999,47.68093168678699,45.02305962435193,12.61844,0.20637,0.48836
ME,2020,125649446.56999993,3.111070929999999,0.8004724000000002,62.0562364099999,52.948881249999985,4.07643934,0.0,0.2758024900000002,0.15524243,1.1655207,0.0907875,8.782369270000006,2.79361002,52.90055791776243,44.22776316759653,12.69326,0.22691,0.52195
MI,2012,28274064.810000055,1.40802256,1.5857571400000006,10.983492999999996,13.752201269999976,0.11916778,0.1543558,0.11695430999999962,0.043342940000000024,0.052681220000000015,0.05808879000000003,12.680318870000093,15.593745940000005,54.20820421051875,44.710916027420225,79.28676,14.14844,5.53625
MI,2016,40514178.779998295,3.0299878299999996,0.21526125000000004,20.54782048,14.29937293,0.8288623500000004,0.171042,0.610491470000049,0.28232602,0.36679292999999835,0.16222151999999998,25.383955059998296,15.130223720000018,47.27453095086684,47.49756421999615,79.17934,14.08599,6.24038
MI,2020,156065744.08000004,5.250496360000002,2.369545469999999,76.86036748000004,62.40065605000003,3.548379810000002,0.46360425000000005,1.8970570399999998,2.03532102,1.0447066,0.13051000000000001,20.590561589999997,12.547030629999984,50.62081829082437,47.83729069113762,79.11567,14.0789,6.674
MN,2012,11009879.60999994,0.37415387999999994,0.14640538,5.447616029999998,1.1509485700000004,0.07232589,0.0,0.07245256000000005,0.00935208000000001,0.2757148000000002,0.01693,6.242263159999965,1.3236360299999996,52.652303153246265,44.95820110666865,46.46105,3.0071,4.29828
MN,2016,48677548.26000001,1.2109642800000002,0.11831169,25.975830720000005,2.81610356,0.00214174,0.14083189000000002,0.03646716999999999,0.0772483,2.192e-05,0.0015447999999999998,27.225425830000013,3.1540402400000005,46.44491857377701,44.92478809350543,46.85535,3.53124,4.84085
MN,2020,65036700.21000007,1.29971587,0.32463574000000006,31.89288638,8.217712789999997,0.82988426,0.0,0.17814204999999994,0.28816072,0.014030229999999994,0.01339114,17.297991399999994,3.95721903,52.39509930974002,45.284942409169375,47.23931,3.95556,5.20145
